id,Wellbeing score,BuildingHeights,Integration,Flow,PTAL,Casualty,Fuel,Supermarket,Choice
34163,0.122373052,0.034919495,0.094807654,724,0.15755,0.307,1.44464,0,321046
34164,0.117697335,0.027202777,0,662,0.13948,0.308,1.17964,0,0
34165,0.117697335,0,0.0305523,662,0.13948,0.308,1.17964,0,7186
34166,0.117697335,0.035111977,0.014386323,662,0.13948,0.308,1.17964,0,2884
34167,0.117697335,0.033166173,0.048894148,631,0.13908,0.301,1.21097,0,20619
34168,0.117697335,0.034625526,0.043115356,281,0.13511,0.226,1.56539,0,19101
34169,0.117697335,0.033596634,0.039819362,106,0.13313,0.188,1.74249,0,46730
34170,0.117697335,0.03502448,0.038226861,132,0.13077,0.284,2.00837,0,20999
34171,0.117697335,0.034426049,0.037031797,128,0.13098,0.273,1.98186,0,28930
34172,0.117697335,0.034646526,0.040311078,90,0.1329,0.184,1.758,0,94515
34173,0.117697335,0,0.044402457,90,0.1329,0.184,1.758,0,159858
34174,0.123881347,0.033876599,0.031172312,201,0.15938,0.163,1.82978,0,142447
34175,0.151784816,0.033225661,0.07946249,722,0.28357,0.062,2.16366,0,47327
34176,0.151784816,0.034121573,0.031032134,712,0.2795,0.062,2.13359,0,6614
34177,0.156259427,0.033799609,0.03229573,373,0.15063,0.052,1.23219,0,5285
34178,0.15982906,0.033586127,0.015618809,176,0.07593,0.046,0.70981,0,0
34179,0.160784314,0.035234464,0.092690233,54,0.03008,0.043,0.389,0,548350
34180,0.160784314,0.034121573,0.073935633,54,0.03362,0.044,0.41694,0,115899
34181,0.160784314,0.031962288,0.10727507,44,0.09258,0.07,0.87943,0,209081
34182,0.160784314,0.0338136,0.068958655,45,0.0826,0.066,0.80124,0,176056
34183,0.160784314,0.0338136,0.013452265,28,0.18494,0.109,1.60396,0,46009
34184,0.160784314,0.033316642,0.013452265,32,0.16343,0.1,1.43526,0,46009
34185,0.160784314,0.032168761,0.025598226,37,0.13004,0.086,1.17322,0,91661
34186,0.160784314,0,0.012145962,111,0.16048,0.094,1.65976,0,45652
34187,0.160784314,0.031951795,0.067395864,164,0.19792,0.106,2.13648,0,436656
34188,0.160784314,0,0.050607213,164,0.19792,0.106,2.13648,0,235231
34189,0.160784314,0,0.012576307,164,0.19792,0.106,2.13648,0,31567
34190,0.160784314,0.035741901,0.010324607,164,0.19792,0.106,2.13648,0,5583
34191,0.160784314,0.03507696,0.030763571,220,0.19674,0.109,2.17487,0,11312
34192,0.160784314,0.034961508,0.0096868,646,0.18762,0.14,2.46884,0,3879
34193,0.160784314,0.03167183,0.020363487,676,0.18695,0.143,2.4898,0,8627
34194,0.061186526,0.03167183,0,245,0.06948,0.044,0.80563,0,0
34195,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34196,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34197,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34198,0.037657114,0.044008096,0,141,0.04121,0.02,0.40031,0,0
34199,0.041176471,0.037610702,0,140,0.03984,0.019,0.39551,0,0
34200,0.085470085,0,0,120,0.023,0.01,0.33476,0,0
34201,0.301256913,0.047742206,0.012136036,429,1.07276,1.328,4.53079,0,0
34202,0.301256913,0.047742206,0.079723571,430,1.07789,1.337,4.54322,0,85468
34203,0.301256913,0.053849092,0.081396304,430,1.07789,1.337,4.54322,0,98205
34204,0.301256913,0.053849092,0.039414252,591,1.01156,1.044,4.99801,0,66291
34205,0.301256913,0.051829796,0.102418569,833,0.9111,0.603,5.68253,0,306492
